type_transaction,prix_vente,description,localisation,commune,ville,marque,modele,annee
Vente,13800000,mitsubishi montero sport 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Montero sport,2017
Vente,17000000,mercedes-benz c-class 2019,"Angré, Abidjan, Côte d'Ivoire",Angré,Abidjan,Mercedes,Benz,2019
Vente,4500000,mercedes-benz ml350 4matic  2005,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2005
Vente,7300000,chevrolet cruze 2019,"Abidjan, Côte d'Ivoire",,Abidjan,Chevrolet,Cruze,2019
Vente,2850000,toyota corolla 2011 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Corolla,2011
Vente,14900000,mazda cx-9 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mazda,Mazda,2019
Vente,17000000,kia  sorento 2019,"Angré, Abidjan, Côte d'Ivoire",Angré,Abidjan,Kia,Sorento,2019
Vente,15500000,land rover range rover sport 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Range rover,Rover range rover sport,2018
Vente,11500000,hyundai tucson 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson,2017
Vente,5850000,superbe mazda tribute 2010 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mazda,Mazda,2010
Vente,15800000,hyundai santa fe 2019,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Santa fe,2019
Vente,13000000,honda cr-v 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Cr-v,2018
Vente,6800000,toyota highlander 2008,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Highlander,2008
Vente,8500000,toyota rav4 2014,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Rav4,2014
Vente,8500000,kia k2700 2018,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Kia,K,2018
Vente,2900000,citroën c4 2006,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Citroën,Citroën,2006
Vente,12800000,peugeot 3008 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,3008,2019
Vente,17500000,jaguar xs  2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Jaguar,Xs,2017
Vente,2850000,toyota corolla 2008,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Corolla,2008
Vente,12500000,kia sportage 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sportage,2019
Vente,6900000,hyundai accent 2017,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Hyundai,Accent,2017
Vente,8750000,kia sportage 2017 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sportage,2017
Vente,3900000,honda crv 2003,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Crv,2003
Vente,4350000,kia rio berline 2015 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Rio berline,2015
Vente,4800000,toyota corolla 2006,"Abidjan, Côte d'Ivoire",,Abidjan,Toyota,Corolla,2006
Vente,9550000,hyundai tucson 2018,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Hyundai,Tucson,2018
Vente,9850000,hyundai santafé présidentielle 2018 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Hyundai,2018
Vente,9850000,hyundai santafé présidentielle 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Hyundai,2018
Vente,9850000,hyundai santafé  2018 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Hyundai,2018
Vente,6800000,honda ridgeline 2008,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Ridgeline,2008
Vente,6800000,honda ridgeline 2008,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Ridgeline,2008
Vente,11800000,toyota prado 2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Prado,2015
Vente,4850000,volkswagen passat 2011 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Volkswagen,Passat,2011
Vente,8500000,mercedes-benz cla250 2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2015
Vente,5850000,mazda tribute 2010,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mazda,Mazda,2010
Vente,5700000,renault duster 2017 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Renault,Duster,2017
Vente,8900000,toyota corolla 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Corolla,2019
Vente,7800000,hyundai elantra 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Elantra,2017
Vente,15800000,kia sorento 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sorento,2019
Vente,3850000,mercedes c280- 4 matic boite auto 2009,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,C280- 4 matic boite auto,2009
Vente,4250000,bmw e-46  2002,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Bmw,E-46,2002
Vente,2500000,honda civic 2002,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Civic,2002
Vente,5500000,toyota yaris 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Yaris,2017
Vente,8900000,hyundai tucson ix35  2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson ix35,2015
Vente,7500000,toyota avanza 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Avanza,2016
Vente,9900000,mitsubishi l200 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,L200,2018
Vente,8500000,bmw 328 2016,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Bmw,328,2016
Vente,13500000,bmw x4 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Bmw,X4,2018
Vente,8500000,ford everest 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Ford,Everest,2017
Vente,6800000,hyundai sonata 2017,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Hyundai,Sonata,2017
Vente,23500000,land rover range rover velar  018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Range rover,Range rover,inco
Vente,13500000,mitsubishi eclipse 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Eclipse,2019
