type_transaction,prix_location,prix_vente,description,localisation,commune,ville,marque,modele,annee
Location,3939545,85000000,avanti sport convertible 2025,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Avanti,Sport convertible,2025
Vente,0,14350000,toyota land cruiser prado 2013,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Land cruiser,2013
Vente,0,15700000,mercedes-benz gl 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2017
Vente,0,7300000,kia sorento 2016 ,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Kia,Sorento,2016
Location,1657925,35000000,bmw x3 2023,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Bmw,X3,2023
Vente,0,35000000,bmw i7 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Bmw,I7,2018
Location,4624031,100000000,toyota land cruiser gxr  2024,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Land cruiser,2024
Location,2251146,48000000,toyota fortuner 2024,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Fortuner,2024
Location,377936,6950000,great wall 2021 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Great,Wall,2021
Location,1292866,27000000,hyundai santa fe 2023,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Santa fe,2023
Vente,0,49000000,nissan patrol 2019,"Abidjan, Côte d'Ivoire",,Abidjan,Nissan,Patrol,2019
Vente,0,11000000,mitsubishi asx 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Asx,2019
Vente,0,7950000,hyundai tucson ix35 2013,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson ix35,2013
Vente,0,8500000,hyundai elantra 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Elantra,2018
Location,1521028,32000000,bmw x4 2021,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Bmw,X4,2021
Vente,0,1900000,honda cr-v 1999,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Honda,Cr-v,1999
Vente,0,11800000,audi q5 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Audi,Q5,2016
